participant_id,age,gender,education,income,risk_score,loss_aversion,scenario_id,sure_amount,risky_amount,risky_prob,ev_risky,chose_risky
1,56,Male,Bachelor's,$50k–100k,3.74,5.05,1,5,12,0.5,6.0,0
1,56,Male,Bachelor's,$50k–100k,3.74,5.05,2,10,18,0.6,10.8,0
1,56,Male,Bachelor's,$50k–100k,3.74,5.05,3,3,20,0.25,5.0,0
1,56,Male,Bachelor's,$50k–100k,3.74,5.05,4,8,14,0.7,9.8,1
2,46,Female,Bachelor's,$50k–100k,5.2,5.18,1,5,12,0.5,6.0,0
2,46,Female,Bachelor's,$50k–100k,5.2,5.18,2,10,18,0.6,10.8,0
2,46,Female,Bachelor's,$50k–100k,5.2,5.18,3,3,20,0.25,5.0,0
2,46,Female,Bachelor's,$50k–100k,5.2,5.18,4,8,14,0.7,9.8,0
3,32,Female,Bachelor's,$50k–100k,4.38,2.56,1,5,12,0.5,6.0,1
3,32,Female,Bachelor's,$50k–100k,4.38,2.56,2,10,18,0.6,10.8,1
3,32,Female,Bachelor's,$50k–100k,4.38,2.56,3,3,20,0.25,5.0,0
3,32,Female,Bachelor's,$50k–100k,4.38,2.56,4,8,14,0.7,9.8,0
4,60,Male,Bachelor's,<$20k,3.52,3.74,1,5,12,0.5,6.0,0
4,60,Male,Bachelor's,<$20k,3.52,3.74,2,10,18,0.6,10.8,1
4,60,Male,Bachelor's,<$20k,3.52,3.74,3,3,20,0.25,5.0,1
4,60,Male,Bachelor's,<$20k,3.52,3.74,4,8,14,0.7,9.8,0
5,25,Non-binary,Some college,$50k–100k,4.38,3.62,1,5,12,0.5,6.0,0
5,25,Non-binary,Some college,$50k–100k,4.38,3.62,2,10,18,0.6,10.8,0
5,25,Non-binary,Some college,$50k–100k,4.38,3.62,3,3,20,0.25,5.0,1
5,25,Non-binary,Some college,$50k–100k,4.38,3.62,4,8,14,0.7,9.8,0
6,38,Female,Some college,$100k+,4.01,4.6,1,5,12,0.5,6.0,0
6,38,Female,Some college,$100k+,4.01,4.6,2,10,18,0.6,10.8,0
6,38,Female,Some college,$100k+,4.01,4.6,3,3,20,0.25,5.0,0
6,38,Female,Some college,$100k+,4.01,4.6,4,8,14,0.7,9.8,1
7,56,Male,Master's,$20k–50k,4.07,4.98,1,5,12,0.5,6.0,0
7,56,Male,Master's,$20k–50k,4.07,4.98,2,10,18,0.6,10.8,1
7,56,Male,Master's,$20k–50k,4.07,4.98,3,3,20,0.25,5.0,1
7,56,Male,Master's,$20k–50k,4.07,4.98,4,8,14,0.7,9.8,1
8,36,Male,PhD,$20k–50k,3.54,6.0,1,5,12,0.5,6.0,0
8,36,Male,PhD,$20k–50k,3.54,6.0,2,10,18,0.6,10.8,0
8,36,Male,PhD,$20k–50k,3.54,6.0,3,3,20,0.25,5.0,0
8,36,Male,PhD,$20k–50k,3.54,6.0,4,8,14,0.7,9.8,0
9,40,Male,Bachelor's,$100k+,5.02,4.01,1,5,12,0.5,6.0,0
9,40,Male,Bachelor's,$100k+,5.02,4.01,2,10,18,0.6,10.8,0
